Name,Explanation,Byline,NIfTI,Creator,Contact,WWW,Availability,HowToGet,Version,Date,OpenSource,License,Free,Requirements,TechPubs,ApplPubs,OtherInfo,Keywords,Platforms,LastIATRupdate,Description
ACTIV 2000,,"Neuroradiology Dpt, C.H.U. de Bicetre",,Denis Ducreux,denis.ducreux@bct.ap-hop-paris.fr,http://www.fmritools.org/activ2000.htm,Now,Web site + Licenses files,1.25,050619,No,,Yes,"Pentium VI class processor, 1 GB RAM, 30 Mb disk space (software), 1 Gb disk space (data), OpenGl compatible video card, 1280x1024 in 32 bits, CDROM, network connection, Windows NT4 or above, 98, 2000 or XP.","ACTIV 2000 : cartographie d'activation cerebrale pre-chirurgicale. D. Ducreux, E. Lobel, A. Paradis, S. Lehericy, D. LeBihan, C. Marsault. INFORMAG, JFR 2000","D. Ducreux, M.C. Petit-Lacour, K. Marsot-Dupuch, J. Bittoun, P. Lasjaunias. Functional MRI Study of Symptomatic Proliferative Angiopathies. Neuroradiology 2002, 44:883-892|D. Ducreux, K. Marsot-Dupuch, P. Lasjaunias, C. Oppenheim, D. Fredy. Imagerie Mentale Auditive Lyrique et Musicale en IRM Fonctionnelle dActivation. J Neuroradiol 2003, 30(1):18-24",,"functional, registration, statistical, surface analysis, visualization, volume, warping",Windows,21 Sep 2005,"fMRI Analysis sotware for windows. Dicom, Genesis, Analyze abd SPM compatible (and more...). Multiplanar reconstructions. Surface rendering of activation. Import, Export, Printing functions. Normalisation (MNI), ..."
MINC - core,,Medical Image NetCDF,NifTI-1 support is via a converter (nii2mnc),Peter Neelin (and others),a.janke@gmail.com,MINC,Now and Forever,http://packages.bic.mni.mcgill.ca/,1.3,,Yes,Modified BSD,Yes,A C compiler,,,,"NIfTI-1 support, volume","HPUX, IRIX, Linux, MacOS, SunOS, UNIX, Windows",06 May 2005,"MINC is a medical imaging format designed specifically for the analysis of data. It inherits it's inate multidimensionality from the underlying strage format (NetCDF). MINC provides: * A number of low-level C/L tools - arbitrary resampling & reshaping - arbitrary volume arithmetic - volume statistics - basic volume conversion * A 2-level programming API * Inate Voxel and World coordinate systems * Inate Voxel to World range conversion A number of more advanced (and specialised) tools are available, they are listed under other headings beginning with MINC."
MINC - volume_io,,A simplified API for the MINC file format,,David McDonald,rotor@bic.mni.mcgill.ca,Volume IO,Now and forever,Part of MINC - core,,,Not recorded,,Yes,A C compiler,,,,"API, volume","HPUX, IRIX, Linux, MacOS, SunOS, UNIX, Windows",28 Mar 2002,"Volume IO was developed as part of a medical imaging software testbed by David MacDonald, with source code and considerable input from Peter Neelin, Louis Collins, and others at the Centre. The library, which is referred to as the BIC Volume IO Library, comprises a set of functions for reading and writing volumes of medical imaging data, as well as some general support routines useful to many programming tasks. Images at the Brain Imaging Centre are stored on disk in a format called MINC, which stands for Medical Image Net CDF. More information is available in related documentation specifically concerning this format and the MINC library of routines used to read and write MINC files. The BIC Volume IO Library is built on top of the MINC library to provide easy access to MINC files for most general operations, without having to learn too much of the details of the MINC library, which is a comprehensive system for handling most conceivable cases. The BIC Volume IO Library provides a structure for internal storage of volumes and routines to access and modify volumes. In addition, it provides routines to manipulate tag points and transformations and to perform input and output on these objects in the standardized formats of the Brain Imaging Centre."
MINC - EMMA,,A MATLAB interface for MINC,,Mark Wolforth and Greg Ward,,EMMA,Now and forever,ftp link from above website,,,Not recorded,,Yes,"MATLAB, MINC - core",,,,API,MATLAB,28 Mar 2002,"EMMA (Extensible MATLAB Medical image Analysis) is a toolkit written at the Montreal Neurological Institute designed to ease the use of MATLAB in the analysis of medical imaging data. It was conceived by Sean Marrett and implemented (in the summer of 1993) by Mark Wolforth and Greg Ward, under Sean's guidance. It provides functions for reading and writing MINC files (our local data file format), viewing images, performing ROI operations, and performing several popular analyses. Also, there are toolkits for performing kinetic analysis of dynamic PET rCBF (regional cerebral blood flow) and FDG data."
MINC - mni_autoreg,,A highly customisable Linear and Non-Linear registration Package,,Louis Collins,Louis Collins,MNI Autoreg,Now and forever,ftp from the above web link,,,Not recorded,,Yes,"A C compiler, MINC - core","A. Collingnon, F. Maes, D. Delaere, D. Vandermeulen, P. Suetens, G. Marchal, 'Automated multi-modality image registration based on information theory', IPMI, 1995:263-274.|Collins DL, Neelin P, Peters TM, and Evans AC, 'Auto- matic 3-D intersubject registration of MR volumetric data in standardized Talairach space', J. Comput. Assis. Tomogr, 18(2):192-205.|Minoshima S, Berger KL, Lee Ks, Mintun MA. 'An auto- mated method for rotation correction and centering of 3D functional brain images', J. Nucl. Med., 1992;33(8):1579-1585.|R.P. Woods, J.C. Mazziotta, S.R. Cherry, 'MRI-PET Reg- istration with Automated Algorithm', J. Comput. Assis. Tomogr, 1993;17:536-546.|Evans AC, Collins DL, Milner B, 'An MRI-based stereo- tactic atlas from 250 young normal subjects', Soc Neurosci Abstr, 1992;18:408.|Talairach J, Tournoux P, 'Co-planar sterotactic atlas of the human brain: 3-dimensional proportional system: an approach to cerebral imaging', Stuttgart: Georg Thieme Verlag, 1988.|Mazziota JC, Toga AW, Evans A, Fox P, and Lancaster J, 'A probabilistic atlas of the human brain: theory and rationale for its development', Neuroimage 2, 89-101 (1995).",,,registration,"HPUX, IRIX, Linux, MacOS, SunOS, UNIX",28 Mar 2002,"In both diagnostic and research applications, the interpretation of magnetic resonance (MR) images of the human brain is facilitated when different data sets can be compared by visual inspection of equivalent anatomical planes. Quantitative analysis with pre-defined atlas templates often requires the initial alignment of atlas and image planes. Unfortunately, the axial planes acquired during separate scanning sessions are often different in their relative position and orientation, and these slices are not coplanar with those in the atlas. A completely automatic method has been developed, based on multi-scale, three dimensional (3D) cross-correlation, to register a given volumetric data set to an average MRI brain (n > 300) aligned with the Talairach stereotaxic coordinate system. Once the data set is resampled by the transformation recovered by the algorithm, atlas slices can be directly super-imposed on the corresponding slices of the resampled volume (see below). The use of such a standardized space also allows the direct comparison, voxel-to-voxel, of two or more data sets brought into stereotaxic space.|A Perl script (mritotal) implements the multi-resolution fitting strategy that has been used to map more than 500 brains into stereotaxic space at the Montreal Neurological Institute. At the heart of this procedure is minctracc, the program that automatically finds the best linear transformation to map one volumetric data set (stored in MINC format, see below) on to another. The program uses optimization over a user selectable number of parameters to identify the best (according to a user-selected objective function) transformation mapping voxel values of the first data set into the second."
VoxBo,,"Center for Functional Neuroimaging, University of Pennsylvania",VoxBo supports NIfTI-1 for reading and writing of 3D and 4D volumes. Details are available at: http://voxbo.org/wiki/index.php/NIfTI_support,Daniel Y. Kimberg and Geoffrey K. Aguirre,kimberg@mail.med.upenn.edu,www.voxbo.org,available now,visit our web site at www.voxbo.org,1.8.1,"April 7, 2006",Yes,GPL,Yes,"VoxBo binaries are distributed for Linux, OSX, and Windows (Windows requires Cygwin). The code should build with minimal fuss under Solaris, although we do not have a Solaris box to build on at the moment.",,,"Visit our web site at: www.voxbo.org or better yet, our wiki at: http://voxbo.org/wiki/index.php/Main_Page","functional, HBP supported, NIfTI-1 support, statistical, visualization, volume","IDL, Linux, MacOS, SunOS, UNIX, Windows",16 May 2006,"VoxBo is a complete package for the preprocessing, analysis, and display of functional brain imaging data. It provides GLM-based statistical tools, an architecture for interoperability with other tools (we encourage users to incorporate SPM and FSL into their processing pipelines), an automation system, a system for parallel distributed computing, numerous stand-alone tools, decent wiki-based documentation, and lots more. VoxBo is distributed free under the terms of the GNU Public License (GPL)."
scanSTAT,,"Brain Mapping Institute, UCLA",,Mark Cohen,mscohen@ucla.edu,www.brianmapping.org/scanSTAT,now,http://www.brainmapping.org/scanSTAT/,1.0.29,11/2000,No,"Not needed. Users must register, however, for NIH",Yes,Macintosh powerPC with 8 Mb of RAM,"M.S. Cohen, 'Real-Time Functional MR Imaging,' Methods, 25 pages 201-220, 2001 |M.S. Cohen 'A Linear Systems Approach to the Parametric Analysis of fMRI Time Series.' NeuroImage 1997;6(2):93","Goldman, RI, Stern, JM, Engel, J, Cohen, MS. Simultaneous EEG and fMRI of the Alpha Rhythm. Neuroreport 2002 (accepted),|Cohen, MS, Goldman, RI, Stern, JM, J. J. Engel, J. EEG and MRI: Simultaneous Recording and Mapping. NeuroImage 2002|M.S. Cohen and DuBois, RM. 'Stability, Repeatability and the Expression of Signal Magnitude in Functional Magnetic Resonance Imaging', Journal of Magnetic Resonance Imaging 10(1):33-40, 1999.|R.M. DuBois, M.S. Cohen, 'Spatiotopic Organization in Human Superior Colliculus Observed with fMRI', NeuroImage 12:6370 (2000).|R.I., Goldman, J.M. Stern, JM, J. Engel, J, M.S. Cohen. 'Acquiring Simultaneous EEG and Functional MRI' Clinical Neurophysiology 111:1974-1980, 2000.",,"functional, statistical, visualization","MacOS, tbd",10 Sep 2003,"scanSTAT is designed for quick, streamlined and accurate analysis of single subject MRI and fMRI data. It runs standalone on Macintosh computers and reads in a variety of image formats. The primary features include: - flexible data import/export - correlation analyses with parametric paradigms - interactive visualization of image and statistical data - real-time motion and artifact detection - fast processing in a small computation environment At present, scanSTAT is available for 'classic' Mac OS from 8.1 through 9.2.2. A carbonized version (OS/X) is available and a java version (scanSTATj) is near complete. The scanSTATj version should be portable to any platform with a java interpreter. Much of the underlying source has been placed into the public domain at www.brainmapping.org"
NPAIRS,,University of Minnesota,,Steve Strother; Jon Anderson,steve@neurovia.umn.edu,http://neurovia.umn.edu/incweb/download_home.html Follow link to 'NPAIRS',Now,The website has an automated software distribution system; visitors fill out an on-line request form and acknowledge having read our disclaimer form. They are then given one-day download access,2.0,"April, 2003",Yes,,Yes,IDL v5.2 or greater UNIX or Linux operating system one file per data volume file format is Analyze or VAPET,"Strother SC, Rehm K, Lange N, Anderson JR, Schaper KA, Hansen LK, Rottenberg DA. Measuring activation pattern reproducibility using resampling techniques. In: Quantitative functional brain imaging with Positron Emission Tomography. (Carson RE, Daube-Witherspoon ME, Herscovitch P, eds.), Academic Press, San Diego, pp. 241-246, 1998.|Strother SC, Anderson J, Hansen LK, Kjems U, Kustra R, Siditis J, Frutiger S, Muley S, LaConte S, Rottenberg D. The quantitative evaluation of functional neuroimaging experiments: The NPAIRS data analysis framework. Neuroimage 15:747-771, 2002.|Kjems U, Hansen LK, Anderson J, Frutiger SA, Sidtis JJ, Rottenberg D, Strother SC. The quantitative evaluation of functional neuroimaging experiments: Mutual information learning curves. Neuroimage 15:772-786, 2002.","Strother SC, Lange N, Anderson JR, Schaper KA, Rehm K, Hansen LK, Rottenberg DA. Activation pattern reproducibility: Measuring the effects of group size and data analysis models. Hum Brain Mapp, 5:312-316, 1997.|Tegeler C, Strother SC, Anderson JR, Kim S-G. Reproducibility of BOLD-based functional MRI obtained at 4T. Hum Brain Mapp, 7:267-283, 1999.|Frutiger S, Strother SC, Anderson JR, Sidtis JJ, Arnold JB, Rottenberg DA. Multivariate predictive relationship between kinematic and functional activation patterns in a PET study of visuomotor learning. Neuroimage 12:515-527, 2000.|Muley SA, Strother SC, Ashe J, Frutiger SA, Anderson JR, Sidtis JJ, Rottenberg DA. Effects of changes in experimental design on PET studies of isometric force. Neuroimage 13:185-195, 2001. Shaw M, Strother SC, McFarlane AC, Morris P, Anderson J, Clark CR, Egan GF. Abnormal functional connectivity in post-traumatic stress disorder. Neuroimage 15:661-674, 2002.|LaConte S, Anderson J, Muley S, Frutiger S, Hansen LK, Yacoub E, Xiaoping H, Rottenberg D, Ashe J, Strother SC. Evaluating preprocessing choices in single-subject BOLD-fMRI studies using data-driven performance metrics. NeuroImage 18:1027, 2003|Shaw ME, Strother SC, Gavrilescu M, Podzebenko K, Waites A, Watson J, Anderson J, Jackson G, Egan G. Evaluating subject specific preprocessing choices in multi-subject BOLD fMRI data sets using data driven performance metrics. Neuroimage (in press).",,"functional, HBP supported, resampling, statistical, visualization","IDL, Linux, UNIX",15 May 2003,"The NPAIRS (Nonparametric, Prediction, Activation, Influence, Reproducibility, re-Sampling) package provides a statistical resampling framework with GLM, PCA and CVA data analysis options forming the basic building blocks for benchmarking and comparing data processing choices and preprocessing pipelines using prediction and reproducibility performance metrics. The distribution package also includes flexible visualization and plotting tools for displaying the results of NPAIRS analyses.|For further information see http://neurovia.umn.edu/incweb/npairs_info.html"
Scion Image,,Scion Corporation,,NIH,info@scioncorp.com,http://www.scioncorp.com/pages/product_prices.htm#Software,Download from web site,Visit Scion Corporation's web site,,,No,,Yes,,,,,visualization,"MacOS, Windows",23 Jan 2006,"Scion Image for MacOS is an extended version of NIH Image, written at the National Institutes of Heath, the most popular image acquisition and analysis program for the Macintosh. Scion Image may be used to capture, display, analyze, enhance, measure, annotate, and output images. Scion Image extensively supports all Scion frame grabber boards, and provides a powerful and complete image acquisition environment.|The modifications which Scion has made to NIH Image involve advanced capturing capabilities, video export abilities, and the display of 24 bit color images. Complete support has been added for the Scion CG-7 RGB color frame grabber including high resolution capture, color frame averaging and frame summation, and color on-chip integration. Scion Image supports video rate frame averaging, blank field shading correction, and mathematical operations with the Scion AG-5 frame grabber. Exporting video images to video printers is supported on Scion frame grabbers with video outputs.|Scion Image is available free of charge. Frequent updates of Scion Image are made to keep it current with NIH Image. Scion provides full technical support to users of Scion Image.| (From http://www.scioncorp.com/pages/scion_image_mac.htm)"
JViewer,,A Java-based 2D and 3D image viewer,,Mona Wong,mona@ncmir.ucsd.edu,http://ncmir.ucsd.edu/Software/jviewer.htm,,http://ncmir.ucsd.edu/distr/JViewer/JViewer.jnlp,1.0,,No,,Yes,Java and Web Start,,,,visualization,Java,07 Aug 2006,"A general and simple Java and Java 3D image viewer. It currently reads and displays 3D contour geometry file in XVoxtrace format.|Under active development is the addition of displaying 3D Neurolucida, Analyze, and Synu file formats as well as 2D Suprim format."
JIV,Java Image Viewer,A 3D Image Data Visualization and Comparison Tool,,Chris Cocosco (crisco@bic.mni.mcgill.ca),"crisco@bic.mni.mcgill.ca, jiv@bic.mni.mcgill.ca",www.bic.mni.mcgill.ca/users/crisco/jiv/,"now, at no cost",www download from http://www.bic.mni.mcgill.ca/users/crisco/jiv/,2.3,07-july-2002,Yes,GNU General Public License (GPL),Yes,"A Java 1.1 (including AWT) run-time environment. For more info, please see http://www.bic.mni.mcgill.ca/users/crisco/jiv/prod/doc/compatibility.html","Chris A. Cocosco and Alan C. Evans, 'Java Internet Viewer: A WWW Tool for Remote 3D Medical Image Data Visualization and Comparison', Fourth International Conference on Medical Image Computing and Computer-Assisted Intervention (MICCAI 2001), Utrecht, The Netherlands, 14-17 October 2001",,"Any bug reports, suggestions, improvements, or extensions are very welcome.","atlas, registration, visualization, volume","any platform that with a Java-1.1 (with AWT) run-t, HPUX, IRIX, Linux, MacOS, SunOS, UNIX, Windows",19 Mar 2003,"JIV is a Java software for visualization and side-by-side comparison of multiple 3D image datasets. While it was originally designed for remote data access (through the WWW), it can be used as a traditional (local) application as well. Features:| + highly portable and platform-independent: it can be run with a common Web browser.| + can cope with slow network links (for remote access),| + uses a simple and platform-independent 3D image data format, and accepts arbitrary volume samplings.| + displays gray-level (intensity) image data with a user-controlled color-mapping; also provides merged (blended) views of pairs of images.| + an efficient mouse-based user input scheme provides fast roaming through the volume, and continuously adjustable zoom and pan."
MRIVIEW,,"Biophysics Group (P-21), Los Alamos National Laboratory",,Doug Ranken,ranken@lanl.gov,www.lanl.gov/p/p21/mriview.shtml,free,Send email to: ranken@lanl.gov,5.5.07,"March 15, 2002",No,none,Yes,Requires IDL. Trial versions of IDL are available at www.rsinc.com,,,,"functional, HBP supported, MRI MEG EEG forward inverse simulator multiple obj, registration, segmentation, visualization, volume","HPUX, IDL, IRIX, Linux, MacOS, SunOS, UNIX, Windows",03 May 2002,"MRIVIEW is a software tool for viewing and manipulating volumetric MRI head data, and for using this data as an anatomical reference in studies of brain function. MRIVIEW supplies methods for reading in raw MRI data, segmenting structures in the data, reconciling coordinate systems between multiple imaging modalities, viewing combinations of anatomical and functional information, and building models of structures within the head. Recent extensions to MRIVIEW include an MEG/EEG forward simulator, and a parallelized multi-start multi-dipole MEG/EEG inverse procedure."
BRAINS,"Brain Research: Analysis of Images, Networks, and Systems",Iowa Mental Helath Clinical Research Center,"NIfTI-1 is supported at this time. Our developers have implemented the NIfTI-1 IO system in the ITK software package, which intern is used in BRAINS.",Nancy C. Andreasen,hans-johnson@uiowa.edu,http://www.psychiatry.uiowa.edu,Freeware,Request a password from the website http://moniz.psychiatry.uiowa.edu,2005-11-28,2005-11-28,No,Copyright Agreement,Yes,"Requires OpenGL, X11 and a 24 bit graphics card.","Andreasen NC, Cohen G, Harris G, et al. Image processing for the study of brain structure and function: Problems and programs. Journal of Neuropsychiatry and Clinical Neuroscience 1992; 4:125-133.|Andreasen NC, Cizadlo T, Harris G, et al. Voxel Processing Techniques for the antemortem study of neuroanatomy and neuropathology using magnetic resonance imaging. Journal of Neuropsychiatry and Clinical Neuroscience 1993; 5:121-130.|Cohen G, Andreasen NC, Alliger R, et al. Segmentation Techniques for the classification of brain tissue using magnetic resonance imaging. Psychiatry Research: Neuroimaging 1992; 45:33-51|Andreasen NC, Rajarethianam R, Cizadlo T, et al. Automatic atlas based volume estimation of human brain regions from MR images. Journal of Computer Assisted Tomography 1996; 20:98-106.|Harris G, Andreasen NC, Cizadlo T, et al. Improving tissue classification in MRI: A three-dimensional multispectral discriminant analysis method with automated training class selection. Journal of Computer Assisted Tomography 1999; 23:144-154.|Magnotta VA, Andreasen NC, Schultz SK, et al. Quantitative in vivo measurement of gyrification in the human brain: Changes associated with aging. Cerebral Cortex 1999; 9:151-160.|Magnotta VA, Heckel D, Andreasen NC, et al. Measurement of brain structures with artificial neural networks: Two-dimensional and three-dimensional applications. Radiology 1999; 211:781-790.|Ward J, Wooteman W, Magnotta VA, Andreasen NC. Color Enhancement of Multispectral Magnetic Resonance Images: Improving the Visualization of Subcortical Structures. Journal of Computer Assisted Tomography. 25(6):942-949, 2001.|Magnotta VA, Harris G, O'Leary DS, Andreasen NC, Heckel D. BRAINS2: A Structural Imaging Processing Toolbox. Computerized Medical Imaging and Graphics, In Press.|Crespo-Facorro B, Kim JJ, Andreasen NC, O'Leary DS, Wiser AK, Bailey JM, Harris G, Magnotta VA. Human Frontal Cortex: An MRI-Based Parcellation Method. NeuroImage, 10:500-519, 1999.","Piven J, Saliba K, Bailey J, et al. An MRI Study of autism: the cerebellum revisited. Neurology 1997; 49:546-551, 1997|Piven J, Bailey J, Ranson BJ, et al. An MRI Study of the corpus callosum in autism. American Journal of Psychiatry 1997; 154(8):1051-1056.|Sears LL, Vest C, Mohamed S, et al. An MRI study of the basal ganglia in autism. Progress in Neuro-Psychopharmacology & Biological Psychiatry 1999; 23:613-624.|Swayze VW, Johnson VP, Hanson JW, et al. Magnetic resonance imaging of brain anomalies in fetal alcohol syndrome. Pediatrics 1997; 99:232-240.|Crespo-Facorro B, Kim JJ, Andreasen NC, O'Leary DS, Magnotta V. Regional Frontal Abnormalities in Schizophrenia: A Quantitative Grey Matter Volume and Cortical Surface Size Study. Biological Psychiatry, 48:110-119, 2000.|Pantel J, O'Leary DS, Cretsinger K, Bockholt HJ, Keefe H, Magnotta VA, Andreasen NC. A New Method for the In Vivo Measurement of the Human Hippocampus with High Neuroanatomical Accuracy. Hippocampus, 10:752-758, 2000.|Crespo-Facorro B, Kim JJ, Andreasen NC, Spinks R, O'Leary DS, Bockholt HJ, Harris G, Magnotta VA. Cerebral cortex: a topographic segmentation method using magnetic resonance imaging. Psychiatry Research Neuroimaging 100: 97-126, 2000.|White TJ, O'Leary DS, Magnotta VA, Arndt S, Flaum M, Andreasen NC. Anatomic and functional variability: The effects of filter size in group fMRI data analysis. NeuroImage 13: 577-588, 2001.|Stephan KE, Magnotta VA, White T, Arndt S, Flaum M, O'Leary DS & Andreasen NC. Effects of Olanzapine on cerebellar functional connectivity in schizophrenia measured by fMRI during a simple motor task. Psychological Medicine 31: 1065-1078, 2001.|Shultz SK, O'Leary DS, Ponto LLB, Arndt S, Magnotta V, Watkins GL, Hichwa RD, Andreasen NC. Age and Regional Cerebral Blood Flow in Schizophrenia: Age Effects in Anterior Cingulate, Frontal and Parietal Cortex. Journal of Neuropsychiatry and Clinical Neurosciences. 14(1):19-24, 2002.",,"atlas, functional, NIfTI-1 support, registration, segmentation, statistical, surface analysis, visualization, volume, warping","cygwin, HPUX, IRIX, Linux, MacOS, SunOS, UNIX, Windows",30 Nov 2005,"BRAINS2 is an innovative, versatile software package created for the analysis of images of the human brain. The package contains manual and automated tools for structural identi cation and methods for tissue classi cation and cortical surface generation. BRAINS2 is most commonly used to analyze magnetic resonance (MR) scans, but the package can also be used to analyze images acquired with positron emission tomography (PET), single photon emission computed tomography (SPECT), and functional magnetic resonance (fMR).|The BRAINS2 package was developed as a replacement for the BRAINS package. (BRAINS is an acronym for Brain Research: Analysis of Images, Networks, and Systems.) The BRAINS2 package was designed to support multiple computer platforms and was implemented in such a way that it would function like an image processing toolbox, providing image processing modules that can be linked together in many ways to achieve an almost unlimited number of image analysis strategies.|BRAINS2 takes full advantage of the latest hardware and software technology standards to allow it to be used on platforms other than the Linux and SGI systems we ourselves use. BRAINS2 uses object-oriented approaches, OpenGL, and X11 to implement the GUI. The object-oriented design speci es that BRAINS2 have speci c routines (access functions) for interaction with every object. For example, images must have the information about them obtained or set using the image object access functions.|There are three main parts to the BRAINS2 implementation: the toolbar and command line interface, the GUI, and the kernel. Using the toolbar and command line interface, the user can load, save, and operate on objects. The GUI displays viewable objects, like images, ROIs, and surfaces. The kernel is a set of image processing routines, which can be linked together through the command language. In terms of data, BRAINS2 is backward compatible with BRAINS and links together a series of processing steps to mimic the behavior of BRAINS. A fundamental set of library routines has been implemented in BRAINS2 for structural imaging."
ITK,,Insight Segmentation and Registration Toolkit,,Insight Software Consortium; funded by NLM/NIH,"William J. Schroeder, Kitware, Inc.",http://www.itk.org,Dowload source; CVS access,http://www.itk.org/HTML/Download.php,2.0,September 2004,Yes,None required,Yes,Modern C++ compilers (the latest version) - MS VC++ 6.0 or 7.0 - SGI CC - gcc - Sun CC - Borland,"T.S. Yoo, M.J. Ackerman, W.E. Lorensen, W. Schroeder, V. Chalana, S. Aylward, D. Metaxas, R. Whitaker. Engineering and Algorithm Design for an Image Processing API: A Technical Report on ITK - the Insight Toolkit. Medicine Meets Virtual Reality Conference 2002.",,,"functional, NA-MIC (NCBC), registration, segmentation, statistical","IRIX, Linux, SunOS, UNIX, Windows",20 Apr 2005,"The Insight Segmentation and Registration Toolkit (ITK) is an open-source software toolkit for performing registration and segmentation. Segmentation is the process of identifying and classifying data found in a digitally sampled representation. Typically the sampled representation is an image acquired from such medical instrumentation as CT or MRI scanners.|Registration is the task of aligning or developing correspondences between data. For example, in the medical environment, a CT scan may be aligned with a MRI scan in order to combine the information contained in both.|ITK is implemented in C++. ITK is cross-platform, using the CMake build environment to manage the compilation process. In addition, an automated wrapping process generates interfaces between C++ and interpreted programming languages such as Tcl, Java, and Python (using CableSwig). This enables developers to create software using a variety of programming languages. ITK's C++ implementation style is referred to as generic programming (i.e., using templated code). Such C++ templating means that the code is highly efficient, and that many software problems are discovered at compile-time, rather than at run-time during program execution.|Because ITK is an open-source project, developers from around the world can use, debug, maintain, and extend the software. ITK uses a model of software development referred to as extreme programming. Extreme programming collapses the usual software creation methodology into a simultaneous and iterative process of design-implement-test-release. The key features of extreme programming are communication and testing. Communication among the members of the ITK community is what helps manage the rapid evolution of the software. Testing is what keeps the software stable. In ITK, an extensive testing process (using Dart) is in place that measures the quality on a daily basis. The ITK Testing Dashboard is posted continuously reflecting the quality of the software."
stroketool,,Digital Image Solutions,,Digital Image Solutions / Hans-Joerg Wittsack,info@digitalimagesolutions.de,http://www.digitalimagesolutions.de,see web site,see web site,2.0,,No,"single license, free test license",No,"Processor: Intel x86 compatible, > 128 MB RAM, true color graphics, MS-Windows: WinNT, W2K, WinXP","Wittsack HJ, Ritzl A, Moedder U. 'User friendly analysis of MR investigations of the cerebral perfusion: Windows-based image processing.' Fortschr Roentgenstr 2002; 174: 742-746",,,"functional, perfusion diffusion mr magnetic resonance, visualization",Windows,21 Sep 2005,"stroketool is a user friendly MS-Windows based software system for calculation and visualization of perfusion and diffusion weighted magnetic resonance imaging data sets.|Features: - Quantitative Perfusion using SVD algorithms - Tracer arrival time insensitive approach - DICOM, Siemens Numaris 3, Philips Intera import - DICOM receive/send module - Very fast calculations of rCBF, MTT, rCBV, TTP,Tmax, ... - User friendly with MS-Windows 'look and feel' - Interactive and automatic AIF-detection - Movie tool for visualization of contrast uptake - Variable screen layout - ROI analysis with possibility of volumetric analysis"
Anatomist,,"SHFJ, CEA",,"SHFJ, CEA",mangin@shfj.cea.fr,http://anatomist.info,,http://anatomist.info/download.html,3.0.0,30 june 2005,Yes,CeCILL,Yes,,http://anatomist.info/biblio/en/index.php,,,"atlas, visualization","IRIX, Linux, MacOS, SunOS, UNIX, Windows",01 Jul 2005,"Anatomist is a visualization software, which main originality is a generic module dedicated to structural data, namely sets of objects linked one another into a graph structure. These objects may be cortical folds inferred from T1 weighted MR data, fiber bundles inferred from MR diffusion weighted data, activated clusters inferred from Statistical Parametric Maps, etc... This module includes a nomenclature control panel, which can drive several brains simultaneously. Anatomist provides also some tools to easily map Statistical Parametric Maps on 3D renderings of the brain, inflated meshes of the cortical surface, etc... Finally, a toolbox is dedicated to the manual drawing of Volumes Of Interest made up of set of voxels. Anatomist is the visualisation software used by BrainVISA to show its pipeline results. For this purpose, BrainVISA remote controls Anatomist main menus."
BrainVISA,,IFR 49 Paris/SHFJ CEA,,IFR 49 Paris/SHFJ CEA,mangin@shfj.cea.fr,http://brainvisa.info,,http://brainvisa.info/download.html,3.0.0,30 juin 2005,Yes,CeCILL,Yes,,http://brainvisa.info/biblio/en/index.php,,,"atlas, segmentation, visualization","IRIX, Linux, MacOS, SunOS, UNIX, Windows",01 Jul 2005,"BrainVISA is a software, which embodies an image processing factory. A simple control panel allows the user to trigger some sequences of processing on series of images. These treatments are performed by calls to command lines provided by different laboratories. These command lines, hence, are the building blocks on which are buit the assembly lines of the factory. BrainVISA is distributed with a toolbox of building blocks dedicated to the segmentation of T1-weighted MR images. The product of the main assembly line made up from this toolbox is the following: grey/white classification for Voxel Based Morphometry, Meshes of each hemisphere surface for visualization purpose, Spherical meshes of each hemisphere white matter surface, a graph of the cortical folds, a labeling of the cortical folds according to a nomenclature of the main sulci. A new pipeline has been recently released to perform fiber tracking from MR diffusion weighted images."
DCMTK,,OFFIS DICOM Toolkit,,"OFFIS e.V., Oldenburg, Germany",dicom@offis.de,http://dicom.offis.de/,available,Download via web page or from ftp://dicom.offis.de/pub/dicom/offis/software/,3.5.4,2005-12-20,Yes,BSD-like open source license,Yes,"Compiling from source code requires a C++ compiler and a few third party libraries, all of which are available under license conditions similar to DCMTK's. For the most popular platforms (Windows, Linux, Solaris), pre-compiled binaries are available for download.","Marco Eichelberg, Joerg Riesmeier, Thomas Wilkens, Andrew J. Hewett, Andreas Barth, Peter Jensch: Ten years of medical imaging standardization and prototypical implementation: the DICOM standard and the OFFIS DICOM Toolkit (DCMTK) in: Medical Imaging 2004: PACS and Imaging Informatics, Osman M. Ratib, H. K. Huang, Editors, Proceedings of SPIE Vol. 5371, pp. 57-68 (2004), ISBN 0-8194-5284-X",,,"DICOM, visualization","FreeBSD, HPUX, IRIX, Linux, Linux on 64-bit platforms, MacOS X, NetBSD, OpenBSD, QNX, SunOS, UNIX, Windows",30 Jan 2006,"DCMTK is a collection of libraries and applications implementing large parts of the DICOM standard for medical image communication. It includes software for examining, constructing and converting DICOM image files, handling offline media, sending and receiving images over a network connection, as well as demonstration image storage and worklist servers. DCMTK includes complete source code and is written in a mixture of ANSI C and C++."
